# Wavelength(micron) (rp/rs)^2 Error_Bars
9.064781858044746343e+00 2.939512734851627059e-03 1.000000000000000082e-05
9.033495984726799932e+00 2.941002469768591934e-03 1.000000000000000082e-05
9.002318090385584171e+00 2.936862053177335952e-03 1.000000000000000082e-05
8.971247802346201894e+00 2.924691991601877962e-03 1.000000000000000082e-05
8.940284749219994609e+00 2.934132764288905054e-03 1.000000000000000082e-05
8.909428560900121141e+00 2.950547368030037847e-03 1.000000000000000082e-05
8.878678868557084769e+00 2.934534131948828093e-03 1.000000000000000082e-05
8.848035304634381149e+00 2.941061694576624103e-03 1.000000000000000082e-05
8.817497502844057422e+00 2.934770250010825150e-03 1.000000000000000082e-05
8.787065098162369026e+00 2.949820935197039733e-03 1.000000000000000082e-05
8.756737726825392087e+00 2.942731093905551817e-03 1.000000000000000082e-05
8.726515026324683788e+00 2.940819918409400512e-03 1.000000000000000082e-05
8.696396635402964037e+00 2.951278267901741043e-03 1.000000000000000082e-05
8.666382194049765175e+00 2.954717713530390522e-03 1.000000000000000082e-05
8.636471343497165165e+00 2.943162480853048820e-03 1.000000000000000082e-05
8.606663726215465715e+00 2.950405879420764637e-03 1.000000000000000082e-05
8.576958985908939681e+00 2.952636934083080218e-03 1.000000000000000082e-05
8.547356767511573139e+00 2.964327167430310609e-03 1.000000000000000082e-05
8.517856717182802129e+00 2.954086756067461975e-03 1.000000000000000082e-05
8.488458482303309793e+00 2.958997865368094993e-03 1.000000000000000082e-05
8.459161711470787992e+00 2.962228217674466903e-03 1.000000000000000082e-05
8.429966054495741545e+00 2.963999727863840961e-03 1.000000000000000082e-05
8.400871162397324454e+00 2.978580628664782327e-03 1.000000000000000082e-05
8.371876687399131711e+00 2.964527571458588570e-03 1.000000000000000082e-05
8.342982282925079929e+00 2.973767025148108846e-03 1.000000000000000082e-05
8.314187603595231124e+00 2.984331613212372163e-03 1.000000000000000082e-05
8.285492305221684006e+00 2.975074666516902295e-03 1.000000000000000082e-05
8.256896044804463486e+00 2.987527800548837962e-03 1.000000000000000082e-05
8.228398480527399528e+00 2.979554140258855455e-03 1.000000000000000082e-05
8.199999271754068175e+00 2.995167894463421701e-03 1.000000000000000082e-05
8.171698079023695271e+00 2.994756282348089681e-03 1.000000000000000082e-05
8.143494564047109918e+00 2.991966651229984418e-03 1.000000000000000082e-05
8.115388389702715699e+00 2.983944884062540281e-03 1.000000000000000082e-05
8.087379220032422822e+00 2.995079149234205172e-03 1.000000000000000082e-05
8.059466720237676185e+00 3.001675918031132539e-03 1.000000000000000082e-05
8.031650556675423047e+00 2.997332633923567840e-03 1.000000000000000082e-05
8.003930396854130436e+00 2.996470283502634772e-03 1.000000000000000082e-05
7.976305909429829200e+00 3.005317358269844318e-03 1.000000000000000082e-05
7.948776764202120759e+00 2.997389319255502286e-03 1.000000000000000082e-05
7.921342632110269122e+00 3.006015372183180445e-03 1.000000000000000082e-05
7.894003185229232500e+00 3.007584516536163446e-03 1.000000000000000082e-05
7.866758096765756214e+00 3.007976934407899025e-03 1.000000000000000082e-05
7.839607041054484249e+00 3.015012851209245524e-03 1.000000000000000082e-05
7.812549693554031727e+00 3.010673996193292522e-03 1.000000000000000082e-05
7.785585730843143537e+00 3.003105925434222147e-03 1.000000000000000082e-05
7.758714830616794345e+00 3.017004097265531780e-03 1.000000000000000082e-05
7.731936671682356099e+00 3.026635274599479616e-03 1.000000000000000082e-05
7.705250933955759329e+00 3.023407429867739152e-03 1.000000000000000082e-05
7.678657298457648217e+00 3.028766870857957372e-03 1.000000000000000082e-05
7.652155447309600511e+00 3.019164501546607159e-03 1.000000000000000082e-05
7.625745063730291484e+00 2.984402423484547925e-03 1.000000000000000082e-05
7.599425832031728056e+00 2.989136097421206829e-03 1.000000000000000082e-05
7.573197437615480254e+00 3.000265576955822751e-03 1.000000000000000082e-05
7.547059566968902011e+00 2.995005636429199074e-03 1.000000000000000082e-05
7.521011907661403484e+00 2.998266548760880352e-03 1.000000000000000082e-05
7.495054148340698497e+00 3.016869825164538409e-03 1.000000000000000082e-05
7.469185978729090181e+00 3.019375621478740356e-03 1.000000000000000082e-05
7.443407089619775263e+00 3.018908226903905655e-03 1.000000000000000082e-05
7.417717172873121712e+00 3.008061073894320158e-03 1.000000000000000082e-05
7.392115921413014767e+00 3.015383159672697759e-03 1.000000000000000082e-05
7.366603029223158572e+00 3.011324218141371405e-03 1.000000000000000082e-05
7.341178191343431081e+00 3.015843539642605164e-03 1.000000000000000082e-05
7.315841103866254969e+00 2.996820566790138994e-03 1.000000000000000082e-05
7.290591463932927674e+00 3.011949765050289489e-03 1.000000000000000082e-05
7.265428969730042930e+00 2.994920540552734392e-03 1.000000000000000082e-05
7.240353320485847455e+00 2.989453241396288364e-03 1.000000000000000082e-05
7.215364216466663372e+00 2.990937899063794703e-03 1.000000000000000082e-05
7.190461358973314177e+00 2.984148945640910031e-03 1.000000000000000082e-05
7.165644450337529392e+00 2.984897273733598966e-03 1.000000000000000082e-05
7.140913193918412283e+00 2.979287265602737888e-03 1.000000000000000082e-05
7.116267294098872931e+00 2.981641752428073559e-03 1.000000000000000082e-05
7.091706456282104831e+00 2.974016756862875224e-03 1.000000000000000082e-05
7.067230386888073035e+00 2.971257357059514919e-03 1.000000000000000082e-05
7.042838793349978310e+00 2.977390104063828632e-03 1.000000000000000082e-05
7.018531384110795024e+00 2.987164807279076538e-03 1.000000000000000082e-05
6.994307868619749513e+00 2.976792338007414399e-03 1.000000000000000082e-05
6.970167957328873065e+00 2.986717936842831888e-03 1.000000000000000082e-05
6.946111361689538910e+00 2.972770452078640161e-03 1.000000000000000082e-05
6.922137794148990331e+00 2.970270814681316013e-03 1.000000000000000082e-05
6.898246968146942493e+00 2.970615064244205242e-03 1.000000000000000082e-05
6.874438598112114107e+00 2.975733372347295728e-03 1.000000000000000082e-05
6.850712399458843471e+00 2.974747012531454415e-03 1.000000000000000082e-05
6.827068088583684080e+00 2.976450604647377148e-03 1.000000000000000082e-05
6.803505382861994022e+00 2.970052823986298832e-03 1.000000000000000082e-05
6.780024000644588433e+00 2.978471712976143732e-03 1.000000000000000082e-05
6.756623661254345770e+00 2.972013761371124045e-03 1.000000000000000082e-05
6.733304084982861148e+00 2.971025377237223198e-03 1.000000000000000082e-05
6.710064993087120122e+00 2.977962098985615074e-03 1.000000000000000082e-05
6.686906107786135145e+00 2.961187017217498368e-03 1.000000000000000082e-05
6.663827152257657538e+00 2.963553155848303294e-03 1.000000000000000082e-05
6.640827850634843266e+00 2.983795161899667307e-03 1.000000000000000082e-05
6.617907928002964013e+00 2.975591062422767562e-03 1.000000000000000082e-05
6.595067110396134247e+00 2.971630536068338435e-03 1.000000000000000082e-05
6.572305124794010744e+00 2.972699181476502316e-03 1.000000000000000082e-05
6.549621699118555185e+00 2.969913404638027318e-03 1.000000000000000082e-05
6.527016562230762986e+00 2.975091396619333750e-03 1.000000000000000082e-05
6.504489443927432113e+00 2.998813095109844826e-03 1.000000000000000082e-05
6.482040074937929219e+00 3.010471141160555274e-03 1.000000000000000082e-05
6.459668186920968225e+00 2.979151088140815588e-03 1.000000000000000082e-05
6.437373512461418201e+00 2.983868155668235444e-03 1.000000000000000082e-05
6.415155785067081062e+00 2.986357649231819161e-03 1.000000000000000082e-05
6.393014739165535865e+00 2.970010339694795221e-03 1.000000000000000082e-05
6.370950110100936925e+00 2.969011612439231840e-03 1.000000000000000082e-05
6.348961634130863452e+00 2.975056663303896412e-03 1.000000000000000082e-05
6.327049048423177169e+00 2.959736708229790056e-03 1.000000000000000082e-05
6.305212091052854184e+00 2.955812495343114986e-03 1.000000000000000082e-05
6.283450500998885246e+00 2.952263742995133410e-03 1.000000000000000082e-05
6.261764018141126265e+00 2.968590779648324750e-03 1.000000000000000082e-05
6.240152383257207447e+00 2.955881457766442420e-03 1.000000000000000082e-05
6.218615338019437111e+00 2.968866592326390320e-03 1.000000000000000082e-05
6.197152624991693060e+00 2.960183195271453866e-03 1.000000000000000082e-05
6.175763987626375240e+00 2.964743339029988264e-03 1.000000000000000082e-05
6.154449170261309554e+00 2.968712398424982763e-03 1.000000000000000082e-05
6.133207918116708512e+00 2.959725158788182112e-03 1.000000000000000082e-05
6.112039977292130999e+00 2.971257852133349277e-03 1.000000000000000082e-05
6.090945094763426937e+00 2.964560237763189977e-03 1.000000000000000082e-05
6.069923018379737023e+00 2.974335971876129747e-03 1.000000000000000082e-05
6.048973496860457821e+00 2.975618057581422889e-03 1.000000000000000082e-05
6.028096279792245937e+00 2.965584815044326576e-03 1.000000000000000082e-05
6.007291117626036403e+00 2.971113259237020358e-03 1.000000000000000082e-05
5.986557761674037081e+00 2.974919516579833511e-03 1.000000000000000082e-05
5.965895964106779026e+00 2.970819912452420022e-03 1.000000000000000082e-05
5.945305477950135753e+00 2.976504622831081023e-03 1.000000000000000082e-05
5.924786057082378044e+00 2.967050159557953377e-03 1.000000000000000082e-05
5.904337456231241177e+00 2.972116568624454287e-03 1.000000000000000082e-05
5.883959430970973514e+00 2.974923519989403076e-03 1.000000000000000082e-05
5.863651737719436596e+00 2.970667116157890350e-03 1.000000000000000082e-05
5.843414133735176819e+00 2.968227432119509811e-03 1.000000000000000082e-05
5.823246377114526418e+00 2.983534418326063385e-03 1.000000000000000082e-05
5.803148226788726660e+00 2.956616839411781855e-03 1.000000000000000082e-05
5.783119442521022613e+00 2.956666015356072038e-03 1.000000000000000082e-05
5.763159784903816529e+00 2.970756631185895828e-03 1.000000000000000082e-05
5.743269015355783935e+00 2.963880101401190729e-03 1.000000000000000082e-05
5.723446896119032345e+00 2.969985721377701136e-03 1.000000000000000082e-05
5.703693190256267975e+00 2.966797351275474171e-03 1.000000000000000082e-05
5.684007661647940246e+00 2.960185968889780198e-03 1.000000000000000082e-05
5.664390074989447577e+00 2.957974562936466906e-03 1.000000000000000082e-05
5.644840195788300541e+00 2.970503514152511571e-03 1.000000000000000082e-05
5.625357790361329435e+00 2.954825123798179506e-03 1.000000000000000082e-05
5.605942625831898063e+00 2.953552158837524644e-03 1.000000000000000082e-05
5.586594470127103307e+00 2.959378053526315680e-03 1.000000000000000082e-05
5.567313091975020001e+00 2.957820334301184718e-03 1.000000000000000082e-05
5.548098260901918266e+00 2.953740471621967446e-03 1.000000000000000082e-05
5.528949747229518152e+00 2.954399512947331226e-03 1.000000000000000082e-05
5.509867322072252271e+00 2.944479112823745852e-03 1.000000000000000082e-05
5.490850757334507115e+00 2.943364087614214458e-03 1.000000000000000082e-05
5.471899825707924769e+00 2.957331306978480071e-03 1.000000000000000082e-05
5.453014300668661996e+00 2.947173331054277721e-03 1.000000000000000082e-05
5.434193956474691056e+00 2.942500495464081892e-03 1.000000000000000082e-05
5.415438568163111199e+00 2.959673797510148103e-03 1.000000000000000082e-05
5.396747911547441490e+00 2.937566972967152554e-03 1.000000000000000082e-05
5.378121763214958939e+00 2.941879497728796221e-03 1.000000000000000082e-05
5.359559900524012654e+00 2.947153426514585901e-03 1.000000000000000082e-05
5.341062101601369072e+00 2.942661942172938253e-03 1.000000000000000082e-05
5.322628145339569627e+00 2.937697913757403041e-03 1.000000000000000082e-05
5.304257811394263555e+00 2.936931143019832786e-03 1.000000000000000082e-05
5.285950880181605527e+00 2.944659548471297537e-03 1.000000000000000082e-05
5.267707132875600884e+00 2.948195173832328549e-03 1.000000000000000082e-05
5.249526351405506830e+00 2.945379003601489038e-03 1.000000000000000082e-05
5.231408318453228290e+00 2.943917184611203382e-03 1.000000000000000082e-05
5.213352817450705778e+00 2.956910562058413360e-03 1.000000000000000082e-05
5.195359632577344122e+00 2.940112134355880088e-03 1.000000000000000082e-05
5.177428548757416316e+00 2.955402904244025779e-03 1.000000000000000082e-05
5.159559351657501125e+00 2.935286604301432303e-03 1.000000000000000082e-05
5.141751827683926912e+00 2.946933904700252752e-03 1.000000000000000082e-05
5.124005763980201245e+00 2.927178808287699257e-03 1.000000000000000082e-05
5.106320948424489359e+00 2.934167054761588605e-03 1.000000000000000082e-05
5.088697169627057093e+00 2.931146953813459563e-03 1.000000000000000082e-05
5.071134216927753791e+00 2.923745964311390451e-03 1.000000000000000082e-05
5.053631880393502307e+00 2.919442471711301054e-03 1.000000000000000082e-05
5.036189950815769478e+00 2.921925640614895028e-03 1.000000000000000082e-05
5.018808219708088991e+00 2.930383760290038338e-03 1.000000000000000082e-05
5.001486479303549615e+00 2.919818064463010256e-03 1.000000000000000082e-05
4.984224522552318959e+00 2.924910611892911089e-03 1.000000000000000082e-05
4.967022143119177002e+00 2.920832972882464202e-03 1.000000000000000082e-05
4.949879135381031858e+00 2.937236033077375227e-03 1.000000000000000082e-05
4.932795294424482613e+00 2.932250802871157972e-03 1.000000000000000082e-05
4.915770416043351076e+00 2.945065061889834152e-03 1.000000000000000082e-05
4.898804296736249064e+00 2.953060089774148592e-03 1.000000000000000082e-05
4.881896733704154556e+00 2.959721829209850316e-03 1.000000000000000082e-05
4.865047524847968319e+00 2.963675310712715356e-03 1.000000000000000082e-05
4.848256468766119376e+00 2.967256922853258802e-03 1.000000000000000082e-05
4.831523364752136729e+00 2.965974144450510708e-03 1.000000000000000082e-05
4.814848012792269927e+00 2.982301995697839419e-03 1.000000000000000082e-05
4.798230213563083879e+00 2.974147885807290267e-03 1.000000000000000082e-05
4.781669768429078538e+00 2.981232325165860276e-03 1.000000000000000082e-05
4.765166479440327230e+00 2.972223362533415580e-03 1.000000000000000082e-05
4.748720149330090123e+00 2.982681732870281436e-03 1.000000000000000082e-05
4.732330581512477430e+00 2.983863289004718821e-03 1.000000000000000082e-05
4.715997580080079743e+00 2.976554681583301262e-03 1.000000000000000082e-05
4.699720949801637460e+00 2.978855072476595776e-03 1.000000000000000082e-05
4.683500496119711975e+00 2.973133676589621334e-03 1.000000000000000082e-05
4.667336025148345335e+00 2.960199415843143070e-03 1.000000000000000082e-05
4.651227343670758074e+00 2.972691285404056687e-03 1.000000000000000082e-05
4.635174259137026631e+00 2.980154990160209516e-03 1.000000000000000082e-05
4.619176579661787407e+00 2.980382833703797574e-03 1.000000000000000082e-05
4.603234114021949708e+00 2.981054838610493023e-03 1.000000000000000082e-05
4.587346671654395358e+00 2.981832537984794099e-03 1.000000000000000082e-05
4.571514062653718291e+00 2.977748182772871604e-03 1.000000000000000082e-05
4.555736097769936599e+00 2.972535367917408453e-03 1.000000000000000082e-05
4.540012588406241001e+00 2.969909676228993118e-03 1.000000000000000082e-05
4.524343346616745087e+00 2.964810693089331602e-03 1.000000000000000082e-05
4.508728185104224018e+00 2.963817905661897140e-03 1.000000000000000082e-05
4.493166917217891410e+00 2.951525010123608964e-03 1.000000000000000082e-05
4.477659356951154912e+00 2.955596105963400819e-03 1.000000000000000082e-05
4.462205318939400200e+00 2.947461527065743225e-03 1.000000000000000082e-05
4.446804618457779412e+00 2.953068332376782880e-03 1.000000000000000082e-05
4.431457071418988036e+00 2.974077554131627620e-03 1.000000000000000082e-05
4.416162494371083547e+00 2.983922836660092299e-03 1.000000000000000082e-05
4.400920704495277391e+00 2.995476541207891825e-03 1.000000000000000082e-05
4.385731519603754514e+00 3.000738890836629480e-03 1.000000000000000082e-05
4.370594758137503533e+00 3.014476604419677810e-03 1.000000000000000082e-05
4.355510239164130049e+00 3.023030278827904243e-03 1.000000000000000082e-05
4.340477782375712579e+00 3.029447322568046275e-03 1.000000000000000082e-05
4.325497208086632739e+00 3.036632149110856955e-03 1.000000000000000082e-05
4.310568337231430291e+00 3.047232625834739046e-03 1.000000000000000082e-05
4.295690991362675071e+00 3.044359821464363066e-03 1.000000000000000082e-05
4.280864992648813150e+00 3.047679949756862752e-03 1.000000000000000082e-05
4.266090163872060970e+00 3.044955525079619772e-03 1.000000000000000082e-05
4.251366328426272823e+00 3.044380521760814418e-03 1.000000000000000082e-05
4.236693310314834982e+00 3.049284559917435529e-03 1.000000000000000082e-05
4.222070934148567822e+00 3.042163002389950723e-03 1.000000000000000082e-05
4.207499025143618177e+00 3.029655357820524100e-03 1.000000000000000082e-05
4.192977409119380106e+00 3.006470528410738578e-03 1.000000000000000082e-05
4.178505912496405017e+00 2.963996522870442248e-03 1.000000000000000082e-05
