# Wavelength(micron) (rp/rs)^2 Error_Bars
8.228398480527399528e+00 2.950483326610622500e-03 1.000000000000000082e-05
8.199999271754068175e+00 2.955475993095509849e-03 1.000000000000000082e-05
8.171698079023695271e+00 2.959877970926851586e-03 1.000000000000000082e-05
8.143494564047109918e+00 2.951777172762890845e-03 1.000000000000000082e-05
8.115388389702715699e+00 2.949252368268732213e-03 1.000000000000000082e-05
8.087379220032422822e+00 2.953295322875863944e-03 1.000000000000000082e-05
8.059466720237676185e+00 2.957353793599045658e-03 1.000000000000000082e-05
8.031650556675423047e+00 2.956233742166422020e-03 1.000000000000000082e-05
8.003930396854130436e+00 2.958648622594249079e-03 1.000000000000000082e-05
7.976305909429829200e+00 2.961076012964051259e-03 1.000000000000000082e-05
7.948776764202120759e+00 2.959576302357888947e-03 1.000000000000000082e-05
7.921342632110269122e+00 2.961003716254782293e-03 1.000000000000000082e-05
7.894003185229232500e+00 2.968172669644544501e-03 1.000000000000000082e-05
7.866758096765756214e+00 2.968902223657711968e-03 1.000000000000000082e-05
7.839607041054484249e+00 2.958417216767024547e-03 1.000000000000000082e-05
7.812549693554031727e+00 2.957722588953300927e-03 1.000000000000000082e-05
7.785585730843143537e+00 2.955752469521673136e-03 1.000000000000000082e-05
7.758714830616794345e+00 2.970140240843299750e-03 1.000000000000000082e-05
7.731936671682356099e+00 2.970186132210450580e-03 1.000000000000000082e-05
7.705250933955759329e+00 2.969848035926011490e-03 1.000000000000000082e-05
7.678657298457648217e+00 2.988963434458715394e-03 1.000000000000000082e-05
7.652155447309600511e+00 2.978679125959128246e-03 1.000000000000000082e-05
7.625745063730291484e+00 2.957931926603079870e-03 1.000000000000000082e-05
7.599425832031728056e+00 2.964115905812060147e-03 1.000000000000000082e-05
7.573197437615480254e+00 2.967172038711628646e-03 1.000000000000000082e-05
7.547059566968902011e+00 2.955186334551794958e-03 1.000000000000000082e-05
7.521011907661403484e+00 2.952360985554915683e-03 1.000000000000000082e-05
7.495054148340698497e+00 2.965150661949791586e-03 1.000000000000000082e-05
7.469185978729090181e+00 2.996483776785471322e-03 1.000000000000000082e-05
7.443407089619775263e+00 2.973190676212489336e-03 1.000000000000000082e-05
7.417717172873121712e+00 2.963977770253410117e-03 1.000000000000000082e-05
7.392115921413014767e+00 2.970211194459478846e-03 1.000000000000000082e-05
7.366603029223158572e+00 2.961617753278198220e-03 1.000000000000000082e-05
7.341178191343431081e+00 2.988099705217423224e-03 1.000000000000000082e-05
7.315841103866254969e+00 2.957432690448851161e-03 1.000000000000000082e-05
7.290591463932927674e+00 2.971870154458827826e-03 1.000000000000000082e-05
7.265428969730042930e+00 2.968317804317781479e-03 1.000000000000000082e-05
7.240353320485847455e+00 2.957001650103758920e-03 1.000000000000000082e-05
7.215364216466663372e+00 2.967502122929912244e-03 1.000000000000000082e-05
7.190461358973314177e+00 2.954139449515767214e-03 1.000000000000000082e-05
7.165644450337529392e+00 2.986467386440525874e-03 1.000000000000000082e-05
7.140913193918412283e+00 2.962880789060757906e-03 1.000000000000000082e-05
7.116267294098872931e+00 2.961021288609567547e-03 1.000000000000000082e-05
7.091706456282104831e+00 2.961959480760542173e-03 1.000000000000000082e-05
7.067230386888073035e+00 2.956966898995989738e-03 1.000000000000000082e-05
7.042838793349978310e+00 2.979854005297023333e-03 1.000000000000000082e-05
7.018531384110795024e+00 2.966251897991566567e-03 1.000000000000000082e-05
6.994307868619749513e+00 2.969066346134756514e-03 1.000000000000000082e-05
6.970167957328873065e+00 2.983236974509135934e-03 1.000000000000000082e-05
6.946111361689538910e+00 2.958522798551645704e-03 1.000000000000000082e-05
6.922137794148990331e+00 2.951531258423714579e-03 1.000000000000000082e-05
6.898246968146942493e+00 2.964042090307103874e-03 1.000000000000000082e-05
6.874438598112114107e+00 2.985714612386767587e-03 1.000000000000000082e-05
6.850712399458843471e+00 2.978873772797203771e-03 1.000000000000000082e-05
6.827068088583684080e+00 2.973238101652952992e-03 1.000000000000000082e-05
6.803505382861994022e+00 2.973316442391703718e-03 1.000000000000000082e-05
6.780024000644588433e+00 2.983264051920560093e-03 1.000000000000000082e-05
6.756623661254345770e+00 2.957976027154808531e-03 1.000000000000000082e-05
6.733304084982861148e+00 2.966114652321011607e-03 1.000000000000000082e-05
6.710064993087120122e+00 2.985204028080172718e-03 1.000000000000000082e-05
6.686906107786135145e+00 2.971598735891862846e-03 1.000000000000000082e-05
6.663827152257657538e+00 2.975595885819833867e-03 1.000000000000000082e-05
6.640827850634843266e+00 3.007521368089828128e-03 1.000000000000000082e-05
6.617907928002964013e+00 3.000116891014998049e-03 1.000000000000000082e-05
6.595067110396134247e+00 2.993801976738218445e-03 1.000000000000000082e-05
6.572305124794010744e+00 2.996278743776196237e-03 1.000000000000000082e-05
6.549621699118555185e+00 2.990150052297917312e-03 1.000000000000000082e-05
6.527016562230762986e+00 2.979480552084668842e-03 1.000000000000000082e-05
6.504489443927432113e+00 2.984492685989163958e-03 1.000000000000000082e-05
6.482040074937929219e+00 3.007421465126114413e-03 1.000000000000000082e-05
6.459668186920968225e+00 2.970672486874001775e-03 1.000000000000000082e-05
6.437373512461418201e+00 2.978312158121071678e-03 1.000000000000000082e-05
6.415155785067081062e+00 3.006610300489965214e-03 1.000000000000000082e-05
6.393014739165535865e+00 2.967141027926099330e-03 1.000000000000000082e-05
6.370950110100936925e+00 2.972605605786262858e-03 1.000000000000000082e-05
6.348961634130863452e+00 2.976283236989319802e-03 1.000000000000000082e-05
6.327049048423177169e+00 2.946466767523312283e-03 1.000000000000000082e-05
6.305212091052854184e+00 2.933501012031833680e-03 1.000000000000000082e-05
6.283450500998885246e+00 2.949138907370277892e-03 1.000000000000000082e-05
6.261764018141126265e+00 2.945915211606232008e-03 1.000000000000000082e-05
6.240152383257207447e+00 2.947712486678082285e-03 1.000000000000000082e-05
6.218615338019437111e+00 2.962217979205415165e-03 1.000000000000000082e-05
6.197152624991693060e+00 2.954161845976726892e-03 1.000000000000000082e-05
6.175763987626375240e+00 2.973452095976069232e-03 1.000000000000000082e-05
6.154449170261309554e+00 2.977198938035385822e-03 1.000000000000000082e-05
6.133207918116708512e+00 2.952081778476329903e-03 1.000000000000000082e-05
6.112039977292130999e+00 2.987508638547492924e-03 1.000000000000000082e-05
