CENTRALWAVELNG,PL_TRANDEP,PL_TRANDEPERR
2.97305,0.27753,0.02743
2.97373,0.26164,0.02667
2.97441,0.27908,0.02712
2.97509,0.2844,0.02807
2.97576,0.28021,0.02727
2.97644,0.28525,0.02706
2.97712,0.25884,0.02761
2.9778,0.28423,0.02752
2.97848,0.24926,0.02692
2.97916,0.24552,0.0278
2.97984,0.32352,0.02817
2.98052,0.33526,0.0274
2.98119,0.32577,0.02865
2.98323,0.29656,0.02855
2.9839,0.28602,0.0284
2.98459,0.27098,0.0294
2.98526,0.31299,0.02704
2.98594,0.29449,0.02965
2.98662,0.31617,0.02801
2.9873,0.29024,0.03009
2.98798,0.34544,0.02934
2.98866,0.307,0.02975
2.98933,0.30186,0.02912
2.99001,0.30436,0.0277
2.99069,0.2852,0.02795
2.99137,0.31486,0.02746
2.99205,0.35456,0.02758
2.99273,0.32354,0.02679
2.99341,0.30531,0.02679
2.99408,0.25822,0.02694
2.99476,0.28908,0.02708
2.99544,0.28444,0.02702
2.99612,0.34811,0.02774
2.9968,0.34981,0.02758
2.99748,0.28605,0.02644
2.99816,0.31046,0.02711
2.99883,0.24973,0.02738
2.99951,0.24107,0.02967
3.00019,0.26637,0.02855
3.00087,0.2846,0.02774
3.00155,0.28125,0.02641
3.00223,0.30715,0.02855
3.0029,0.29634,0.0277
3.00358,0.29351,0.02756
3.00426,0.3292,0.02667
3.00494,0.28744,0.02667
3.00562,0.28979,0.02681
3.00629,0.29856,0.0268
3.00697,0.32402,0.02762
3.00765,0.25163,0.02809
3.00833,0.3502,0.02863
3.00901,0.3072,0.02782
3.00969,0.32598,0.02857
3.01037,0.29801,0.02932
3.01104,0.32247,0.02734
3.01172,0.33043,0.0278
3.0124,0.29669,0.02804
3.01308,0.32414,0.02591
3.01376,0.28781,0.02669
3.01443,0.2676,0.02447
3.01511,0.31938,0.02648
3.01579,0.30878,0.02724
3.01647,0.25732,0.0278
3.01783,0.2943,0.02863
3.01851,0.26636,0.02818
3.01918,0.28314,0.02518
3.01986,0.2908,0.02226
3.02054,0.21454,0.02892
3.02122,0.25474,0.02603
3.0219,0.24823,0.02713
3.02258,0.25849,0.02799
3.02325,0.28292,0.02699
3.02393,0.28132,0.02855
3.02461,0.28387,0.0274
3.02529,0.29998,0.02646
3.02597,0.25972,0.02757
3.02665,0.31006,0.02742
3.02733,0.262,0.02583
3.02868,0.29316,0.02709
3.02936,0.30427,0.02764
3.03004,0.32889,0.02754
3.03072,0.30141,0.02938
3.03139,0.32273,0.02808
3.03207,0.28203,0.0273
3.03275,0.29599,0.02698
3.03343,0.23658,0.02665
3.03478,0.2795,0.02743
3.03546,0.26776,0.02624
3.03614,0.25711,0.02633
3.03682,0.31635,0.02748
3.0375,0.34364,0.02679
3.03818,0.30073,0.02629
3.03885,0.21961,0.0256
3.03953,0.3147,0.02658
3.04021,0.28152,0.02632
3.04089,0.29076,0.02758
3.04156,0.28408,0.02724
3.04224,0.32315,0.02769
3.04292,0.28129,0.02792
3.0436,0.29024,0.02776
3.04428,0.31275,0.0283
3.04496,0.30342,0.02817
3.04564,0.35275,0.02741
3.04631,0.24428,0.02774
3.04699,0.31839,0.0279
3.04767,0.24572,0.02844
3.04835,0.33258,0.02831
3.04903,0.30165,0.02819
3.0497,0.26512,0.02811
3.05038,0.27989,0.02821
3.05106,0.3066,0.02716
3.05174,0.31782,0.02659
3.05242,0.27245,0.02585
3.0531,0.31639,0.0271
3.05377,0.32347,0.02717
3.05445,0.23438,0.02728
3.05513,0.3368,0.02677
3.05581,0.31676,0.02573
3.05648,0.24883,0.02714
3.05716,0.29412,0.02737
3.05784,0.31216,0.02861
3.05852,0.25904,0.02667
3.0592,0.35496,0.02758
3.05988,0.31217,0.02798
3.06055,0.29398,0.02836
3.06123,0.27765,0.02734
3.06191,0.25904,0.0268
3.06259,0.30491,0.02621
3.06326,0.31651,0.02705
3.06394,0.32324,0.02732
3.06462,0.29814,0.02687
3.0653,0.31803,0.02786
3.06598,0.28912,0.02718
3.06666,0.29084,0.02746
3.06734,0.29725,0.02663
3.06801,0.32264,0.02402
3.06869,0.26912,0.02807
3.06937,0.26254,0.0275
3.07072,0.25083,0.02975
3.0714,0.26598,0.02706
3.07208,0.27442,0.02783
3.07276,0.28895,0.02717
3.07343,0.27367,0.0266
3.07411,0.29032,0.02697
3.07479,0.32305,0.02818
3.07547,0.28243,0.02868
